@id	@lon	@lat
4222416	-6.3536869	53.2870376
4222418	-6.3491320	53.2868514
4222419	-6.3469731	53.2870869
4238253	-6.3530881	53.2751715
4238254	-6.3486591	53.2772125
4238256	-6.3451699	53.2803290
4238257	-6.3414887	53.2823038
4238258	-6.3403975	53.2819553
4238260	-6.3397139	53.2813910
4238261	-6.3400112	53.2803843
4238263	-6.3420137	53.2787721
4238264	-6.3421939	53.2784590
4238267	-6.3424085	53.2779663
4238269	-6.3474520	53.2828183
4238271	-6.3451232	53.2839613
4238272	-6.3426620	53.2848655
4238273	-6.3405579	53.2864972
4238275	-6.3411543	53.2880434
4238283	-6.3306054	53.2856340
4238284	-6.3302058	53.2846508
4238288	-6.3306385	53.2817128
4238289	-6.3313311	53.2802544
4238291	-6.3310492	53.2751105
4238293	-6.3313933	53.2789724
4238294	-6.3345818	53.2790444
4238295	-6.3358556	53.2787215
4238296	-6.3364093	53.2784771
4238301	-6.3429282	53.2894515
4238302	-6.3540200	53.2884415
25780838	-6.3491798	53.2866869
25780839	-6.3469840	53.2868961
25780840	-6.3545193	53.2868885
25780853	-6.3410994	53.2878924
25781630	-6.3535968	53.2748877
26916541	-6.3308103	53.2894522
26916545	-6.3305957	53.2891444
26916549	-6.3303769	53.2888707
26917980	-6.3311372	53.2768473
26917982	-6.3311054	53.2764946
26932052	-6.3312636	53.2782490
26932053	-6.3311960	53.2777633
26932055	-6.3304560	53.2777878
26932058	-6.3311880	53.2758193
26932060	-6.3312177	53.2865659
29396382	-6.3524076	53.2755609
29396383	-6.3492793	53.2769659
29396384	-6.3471562	53.2780242
29396385	-6.3461808	53.2792746
29396386	-6.3436140	53.2810400
29396387	-6.3420501	53.2816853
29396388	-6.3407640	53.2831412
29396389	-6.3397366	53.2837385
29396390	-6.3387975	53.2840980
29396391	-6.3380261	53.2843300
29396392	-6.3372574	53.2844714
29396393	-6.3363295	53.2847006
29396394	-6.3393343	53.2839141
29396395	-6.3354836	53.2848673
29396396	-6.3350176	53.2850179
29396397	-6.3335262	53.2857283
29396398	-6.3326574	53.2861398
29396399	-6.3309663	53.2866347
29402124	-6.3528340	53.2750606
29402125	-6.3523191	53.2748873
29402126	-6.3515343	53.2747820
29402127	-6.3509885	53.2747412
29402128	-6.3509835	53.2745930
30847268	-6.3329666	53.2764714
30847269	-6.3354232	53.2762611
30847270	-6.3372850	53.2760827
30847271	-6.3393839	53.2758177
30847297	-6.3397914	53.2757851
30847299	-6.3443991	53.2753478
30847319	-6.3447914	53.2753185
30847320	-6.3469739	53.2750513
30847321	-6.3477759	53.2749510
30847322	-6.3489810	53.2748085
30847323	-6.3501565	53.2747325
52871658	-6.3304555	53.2895592
57579493	-6.3310028	53.2748661
60228528	-6.3394836	53.2896427
60228529	-6.3396262	53.2895494
60228530	-6.3397452	53.2895595
60228533	-6.3353885	53.2893548
98025405	-6.3314380	53.2795370
98025407	-6.3310265	53.2809681
98025416	-6.3303897	53.2852234
98025473	-6.3445426	53.2752257
98025474	-6.3444128	53.2749355
98025475	-6.3443456	53.2747533
98025477	-6.3442970	53.2745173
98025579	-6.3390251	53.2745013
98025582	-6.3392186	53.2749260
98025584	-6.3393673	53.2752507
98025586	-6.3395589	53.2756697
98025593	-6.3446375	53.2754554
98025610	-6.3397548	53.2758624
98025622	-6.3430215	53.2755260
98025642	-6.3413490	53.2756791
103116427	-6.3542169	53.2755960
103117091	-6.3457561	53.2798387
103117097	-6.3446033	53.2806429
103117104	-6.3428003	53.2813389
103117110	-6.3417315	53.2819573
103117116	-6.3410524	53.2828492
103117117	-6.3402774	53.2834863
211451880	-6.3389480	53.2881882
211451889	-6.3390358	53.2882100
211451986	-6.3391079	53.2882470
211451992	-6.3391570	53.2882954
211451997	-6.3391786	53.2883504
211452002	-6.3391707	53.2884068
211452005	-6.3391333	53.2884595
211452541	-6.3390702	53.2885026
211452547	-6.3389860	53.2885321
211452553	-6.3388905	53.2885439
211452558	-6.3388116	53.2885398
211452641	-6.3386726	53.2884962
211452654	-6.3386221	53.2884598
211452661	-6.3385890	53.2884169
211452665	-6.3385833	53.2883232
211452671	-6.3386189	53.2882705
211452762	-6.3386801	53.2882271
211452772	-6.3387609	53.2881972
211452776	-6.3388533	53.2881837
211452785	-6.3390986	53.2886587
243881314	-6.3354745	53.2891366
243881317	-6.3486670	53.2862190
243881319	-6.3471264	53.2860175
243881322	-6.3460593	53.2860829
243881324	-6.3448138	53.2863193
243881325	-6.3436827	53.2865749
243881326	-6.3427356	53.2867713
243881327	-6.3408097	53.2871647
243881328	-6.3405088	53.2862490
243881329	-6.3407156	53.2860952
243881331	-6.3417253	53.2853817
243881332	-6.3435947	53.2844842
243881333	-6.3445850	53.2841619
243881334	-6.3464376	53.2833152
243881409	-6.3547372	53.2807708
243881410	-6.3532613	53.2810423
243881411	-6.3528918	53.2811120
243881412	-6.3519546	53.2812752
243881413	-6.3513482	53.2813696
243881414	-6.3510448	53.2814193
243881415	-6.3499405	53.2815939
243881416	-6.3491862	53.2818139
243881418	-6.3488734	53.2819465
243881419	-6.3486137	53.2820952
243882193	-6.3542489	53.2870488
243882194	-6.3529345	53.2870166
243882196	-6.3521270	53.2869596
243882198	-6.3521036	53.2867972
243882199	-6.3536336	53.2868796
243882238	-6.3552149	53.2882359
243882242	-6.3528923	53.2885814
244065172	-6.3397840	53.2758256
244065173	-6.3397072	53.2758916
244065174	-6.3394000	53.2757383
244065175	-6.3396463	53.2759098
244065176	-6.3393809	53.2757772
244065178	-6.3396263	53.2756711
244065179	-6.3446080	53.2752214
244065180	-6.3447930	53.2753548
244065181	-6.3445702	53.2754569
244065182	-6.3444059	53.2753078
244065793	-6.3400456	53.2817397
244065794	-6.3398140	53.2815494
244065795	-6.3396321	53.2811294
244065796	-6.3396494	53.2808800
244065797	-6.3398214	53.2805783
244065799	-6.3407359	53.2796567
244065800	-6.3411639	53.2793199
244065801	-6.3424670	53.2777223
244065802	-6.3424600	53.2775506
244065803	-6.3424171	53.2773146
244065804	-6.3423656	53.2770682
244065805	-6.3422772	53.2768490
244065806	-6.3420171	53.2764737
244065807	-6.3474257	53.2778306
244065808	-6.3479278	53.2775333
244065809	-6.3468578	53.2778386
244065810	-6.3466270	53.2776435
244065811	-6.3463723	53.2774056
244065812	-6.3460908	53.2771342
244065813	-6.3459106	53.2769629
244065814	-6.3457355	53.2768106
244065815	-6.3456240	53.2767106
244065816	-6.3454171	53.2765916
244065817	-6.3451862	53.2764917
244065818	-6.3449076	53.2764060
244065819	-6.3445972	53.2763394
244065820	-6.3442788	53.2762823
244065821	-6.3439922	53.2762537
244065822	-6.3437216	53.2762442
244065823	-6.3434429	53.2762632
244065824	-6.3431325	53.2763013
244065825	-6.3414735	53.2765408
244065826	-6.3407574	53.2766498
244065827	-6.3398801	53.2767662
244065830	-6.3387050	53.2769518
244065831	-6.3384429	53.2770247
244065832	-6.3382119	53.2771133
244065833	-6.3380360	53.2771943
